source_id,owner,notebook_slug,current_version,script_version_id,detection,segmentation,node_extraction,temporal_linking,assignment_optimization,division_detection,track_filtering,node_count_calibration,external_model_data,cv_design,reported_local_score,current_verified_public_score,page_displayed_score,runtime,reproducibility,license,known_failure,evidence_source_ids
KAGGLE_CODE_NUSRATI_0-938,nusrati,0-938,3,UNKNOWN,detection_dog_log | detection_threshold | model_3d_unet,segmentation_connected_components,segmentation_connected_components,gap_closing | linking_graph | linking_hungarian | linking_nearest_neighbor | motion_kalman,linking_hungarian | optimization_ilp_motile,division_detection,track_filtering,node_count_calibration,inputs=biohub-deepcenter-unet3d-center-prior-v1 | competitions | datasets; weights=/kaggle/input/biohub-deepcenter-unet3d-center-prior-v1/weights/full_frame_center/best.pt | /split_0/edge_predictor_best.pt | best.pt | checkpoint_last.pt | edge_predictor_best.pt | full_frame_center/best.pt | last.pt | weights/full_frame_center/best.pt,metric_division_jaccard | metric_edge_jaccard,NONE_EXTRACTED,UNKNOWN_UNBOUND,0.938,NOT_VERIFIED_OUTPUTS_EMPTY; accelerator=NvidiaTeslaT4,FULL_SOURCE_READ; current_version=3; source_sha256=65c2fc9bbe0b3268af46396bfec62906cb85633e46c87ad0fdfe2be0c1412e96; outputs=0,UNKNOWN_NOT_EXPOSED,OUTPUTS_CLEARED_OR_ABSENT_IN_GETKERNEL_SOURCE | ScriptVersionId=UNKNOWN | PAGE_SCORE_NOT_BOUND_TO_CURRENT_SOURCE_OR_SUBMISSION | TRAINING_EXECUTION_NOT_VERIFIED,KAGGLE_CODE_NUSRATI_0-938 | NOTEBOOK_CELL_AUDIT
KAGGLE_CODE_YUSUKETOGASHI_LB897-BASELINE,yusuketogashi,lb897-baseline,49,UNKNOWN,detection_dog_log | detection_threshold,NOT_FOUND_IN_CODE_SCAN,NOT_FOUND_IN_CODE_SCAN,gap_closing | linking_graph | linking_hungarian | motion_kalman,linking_hungarian | optimization_ilp_motile,division_detection,track_filtering,node_count_calibration,inputs=competitions | datasets; weights=/split_0/edge_predictor_best.pt | edge_predictor_best.pt,NO_METRIC_CV_CODE_SIGNAL_FOUND,NONE_EXTRACTED,UNKNOWN_UNBOUND,0.896,NOT_VERIFIED_OUTPUTS_EMPTY; accelerator=NvidiaTeslaT4,FULL_SOURCE_READ; current_version=49; source_sha256=c4d75190ba336623a01f42a239bfb8a915f547d3606aa29a7d666893bf83f087; outputs=0,UNKNOWN_NOT_EXPOSED,OUTPUTS_CLEARED_OR_ABSENT_IN_GETKERNEL_SOURCE | ScriptVersionId=UNKNOWN | PAGE_SCORE_NOT_BOUND_TO_CURRENT_SOURCE_OR_SUBMISSION | TRAINING_EXECUTION_NOT_VERIFIED,KAGGLE_CODE_YUSUKETOGASHI_LB897-BASELINE | NOTEBOOK_CELL_AUDIT
KAGGLE_CODE_YAROSLAVKHOLMIRZAYEV_BIOHUB-CELL-TRACKING-V4-UNET-ILP-REPRODUCTION,yaroslavkholmirzayev,biohub-cell-tracking-v4-unet-ilp-reproduction,13,UNKNOWN,detection_threshold,NOT_FOUND_IN_CODE_SCAN,NOT_FOUND_IN_CODE_SCAN,gap_closing | linking_graph | linking_hungarian | linking_nearest_neighbor | motion_kalman,linking_hungarian | optimization_ilp_motile,division_detection,track_filtering,node_count_calibration,inputs=competitions | datasets; weights=/split_0/edge_predictor_best.pt | edge_predictor_best.pt | weights/unet_transformer/split_0/edge_predictor_best.pt,NO_METRIC_CV_CODE_SIGNAL_FOUND,NONE_EXTRACTED,UNKNOWN_UNBOUND,0.896,NOT_VERIFIED_OUTPUTS_EMPTY; accelerator=NvidiaTeslaT4,FULL_SOURCE_READ; current_version=13; source_sha256=47dc8cb23a21e712ef7d6237282466a8fc88e78f272a21e1649bd854534ea33d; outputs=0,UNKNOWN_NOT_EXPOSED,OUTPUTS_CLEARED_OR_ABSENT_IN_GETKERNEL_SOURCE | ScriptVersionId=UNKNOWN | PAGE_SCORE_NOT_BOUND_TO_CURRENT_SOURCE_OR_SUBMISSION | TRAINING_EXECUTION_NOT_VERIFIED | TITLE_OR_MARKDOWN_METHOD_NOT_IMPLEMENTED_IN_CODE=model_3d_unet | segmentation_connected_components,KAGGLE_CODE_YAROSLAVKHOLMIRZAYEV_BIOHUB-CELL-TRACKING-V4-UNET-ILP-REPRODUCTION | NOTEBOOK_CELL_AUDIT
KAGGLE_CODE_SESHURAJUP_LB-0-857-BEST-RULE-BASE-V14,seshurajup,lb-0-857-best-rule-base-v14,14,UNKNOWN,detection_dog_log | detection_local_maxima | detection_threshold,segmentation_connected_components,detection_local_maxima | segmentation_connected_components,gap_closing | linking_graph | linking_hungarian,linking_hungarian,division_detection,track_filtering,node_count_calibration,inputs=biohub-cell-tracking-during-development | competitions; weights=,metric_division_jaccard | metric_edge_jaccard,NONE_EXTRACTED,UNKNOWN_UNBOUND,0.857,NOT_VERIFIED_OUTPUTS_EMPTY; accelerator=None,FULL_SOURCE_READ; current_version=14; source_sha256=c174e372d91fc3a6baf0dbae78ca228af64ba9b1774b21c71849f5ba2f5b9298; outputs=0,UNKNOWN_NOT_EXPOSED,OUTPUTS_CLEARED_OR_ABSENT_IN_GETKERNEL_SOURCE | ScriptVersionId=UNKNOWN | PAGE_SCORE_NOT_BOUND_TO_CURRENT_SOURCE_OR_SUBMISSION | TRAINING_EXECUTION_NOT_VERIFIED,KAGGLE_CODE_SESHURAJUP_LB-0-857-BEST-RULE-BASE-V14 | NOTEBOOK_CELL_AUDIT
KAGGLE_CODE_ISAKATSUYOSHI_BIOHUB-RULE-BASED-BASELINE,isakatsuyoshi,biohub-rule-based-baseline,7,UNKNOWN,detection_dog_log | detection_local_maxima | detection_threshold | model_3d_unet,segmentation_connected_components,detection_local_maxima | segmentation_connected_components,gap_closing | linking_graph | linking_hungarian | motion_kalman,linking_hungarian,division_detection,track_filtering,node_count_calibration,inputs=biohub-cell-tracking-during-development | competitions; weights=,metric_division_jaccard | metric_edge_jaccard,NONE_EXTRACTED,UNKNOWN_UNBOUND,0.826,NOT_VERIFIED_OUTPUTS_EMPTY; accelerator=NvidiaTeslaT4,FULL_SOURCE_READ; current_version=7; source_sha256=b62cc60e7c6ee9898fc9143ef24606ff7d325da2a9ddf3e47ef90e1050fe1be9; outputs=0,UNKNOWN_NOT_EXPOSED,OUTPUTS_CLEARED_OR_ABSENT_IN_GETKERNEL_SOURCE | ScriptVersionId=UNKNOWN | PAGE_SCORE_NOT_BOUND_TO_CURRENT_SOURCE_OR_SUBMISSION | TRAINING_EXECUTION_NOT_VERIFIED,KAGGLE_CODE_ISAKATSUYOSHI_BIOHUB-RULE-BASED-BASELINE | NOTEBOOK_CELL_AUDIT
KAGGLE_CODE_KIRNEO_METRIC-HACK-LAST-CALL-UPDATE,kirneo,metric-hack-last-call-update,13,UNKNOWN,detection_threshold | model_3d_unet,segmentation_connected_components,segmentation_connected_components,gap_closing | linking_graph | linking_hungarian,linking_hungarian | optimization_ilp_motile,division_detection,track_filtering,node_count_calibration,inputs=competitions | datasets; weights=/edge_predictor_best.pt,metric_edge_jaccard,NONE_EXTRACTED,UNKNOWN_UNBOUND,0.885,NOT_VERIFIED_OUTPUTS_EMPTY; accelerator=NvidiaTeslaT4,FULL_SOURCE_READ; current_version=13; source_sha256=1087c5db1d72fb90afaba43f067a950cb78bff87b0e7ff776234a373653cbc00; outputs=0,UNKNOWN_NOT_EXPOSED,OUTPUTS_CLEARED_OR_ABSENT_IN_GETKERNEL_SOURCE | ScriptVersionId=UNKNOWN | PAGE_SCORE_NOT_BOUND_TO_CURRENT_SOURCE_OR_SUBMISSION | TRAINING_EXECUTION_NOT_VERIFIED,KAGGLE_CODE_KIRNEO_METRIC-HACK-LAST-CALL-UPDATE | NOTEBOOK_CELL_AUDIT
KAGGLE_CODE_AMANATAR_IMPROVED-METRIC-HACK-LAST-CALL,amanatar,improved-metric-hack-last-call,1,UNKNOWN,detection_threshold | model_3d_unet,segmentation_connected_components,segmentation_connected_components,gap_closing | linking_graph | linking_hungarian,linking_hungarian | optimization_ilp_motile,division_detection,track_filtering,node_count_calibration,inputs=competitions | datasets; weights=/edge_predictor_best.pt,metric_edge_jaccard,NONE_EXTRACTED,UNKNOWN_UNBOUND,0.966,NOT_VERIFIED_OUTPUTS_EMPTY; accelerator=NvidiaTeslaT4,FULL_SOURCE_READ; current_version=1; source_sha256=d29282ae764067cc80b8e50b820bca0b678cf1808846e5e8732ac4cfb2b2b446; outputs=0,UNKNOWN_NOT_EXPOSED,OUTPUTS_CLEARED_OR_ABSENT_IN_GETKERNEL_SOURCE | ScriptVersionId=UNKNOWN | PAGE_SCORE_NOT_BOUND_TO_CURRENT_SOURCE_OR_SUBMISSION | TRAINING_EXECUTION_NOT_VERIFIED,KAGGLE_CODE_AMANATAR_IMPROVED-METRIC-HACK-LAST-CALL | NOTEBOOK_CELL_AUDIT
KAGGLE_CODE_OUTWREST_METRIC-HACK-MINIMAL-BASELINE-TTA-2GPU,outwrest,metric-hack-minimal-baseline-tta-2gpu,1,UNKNOWN,detection_threshold | model_3d_unet,segmentation_connected_components,segmentation_connected_components,linking_graph,optimization_ilp_motile,division_detection,NOT_FOUND_IN_CODE_SCAN,node_count_calibration,inputs=competitions | datasets; weights=/edge_predictor_best.pt,metric_edge_jaccard,NONE_EXTRACTED,UNKNOWN_UNBOUND,0.95,NOT_VERIFIED_OUTPUTS_EMPTY; accelerator=NvidiaTeslaT4,FULL_SOURCE_READ; current_version=1; source_sha256=6a9c42fcdb3b1ab13f24698db2884d8a49330e6b8803a1d45cb91b233e7c4451; outputs=0,UNKNOWN_NOT_EXPOSED,OUTPUTS_CLEARED_OR_ABSENT_IN_GETKERNEL_SOURCE | ScriptVersionId=UNKNOWN | PAGE_SCORE_NOT_BOUND_TO_CURRENT_SOURCE_OR_SUBMISSION | TRAINING_EXECUTION_NOT_VERIFIED,KAGGLE_CODE_OUTWREST_METRIC-HACK-MINIMAL-BASELINE-TTA-2GPU | NOTEBOOK_CELL_AUDIT
KAGGLE_CODE_YUNUSGMSOY_KIMI-NOTEBOOK-V19,yunusgmsoy,kimi-notebook-v19,19,UNKNOWN,detection_dog_log | detection_threshold | model_3d_unet,segmentation_connected_components,segmentation_connected_components,gap_closing | linking_graph | linking_hungarian | linking_nearest_neighbor | motion_kalman,linking_hungarian | optimization_ilp_motile,division_detection,track_filtering,node_count_calibration,inputs=biohub-deepcenter-unet3d-center-prior-v1 | competitions | datasets; weights=/kaggle/input/biohub-deepcenter-unet3d-center-prior-v1/weights/full_frame_center/best.pt | /split_0/edge_predictor_best.pt | best.pt | checkpoint_last.pt | edge_predictor_best.pt | full_frame_center/best.pt | last.pt | weights/full_frame_center/best.pt,metric_division_jaccard | metric_edge_jaccard,NONE_EXTRACTED,UNKNOWN_UNBOUND,0.938,NOT_VERIFIED_OUTPUTS_EMPTY; accelerator=NvidiaTeslaT4,FULL_SOURCE_READ; current_version=19; source_sha256=93937e6991b4a11579b0a30f448075bd914b3f3698452a5f4a16affc3eec119b; outputs=0,UNKNOWN_NOT_EXPOSED,OUTPUTS_CLEARED_OR_ABSENT_IN_GETKERNEL_SOURCE | ScriptVersionId=UNKNOWN | PAGE_SCORE_NOT_BOUND_TO_CURRENT_SOURCE_OR_SUBMISSION | TRAINING_EXECUTION_NOT_VERIFIED,KAGGLE_CODE_YUNUSGMSOY_KIMI-NOTEBOOK-V19 | NOTEBOOK_CELL_AUDIT
KAGGLE_CODE_ANHADMAHAJAN06_BIOHUB-TRACK-YOUR-CELLS-DEVELOPMENT,anhadmahajan06,biohub-track-your-cells-development,37,UNKNOWN,detection_dog_log | detection_threshold | model_3d_unet,segmentation_connected_components,segmentation_connected_components,gap_closing | linking_graph | linking_hungarian | linking_nearest_neighbor | motion_kalman,linking_hungarian | optimization_ilp_motile,division_detection,track_filtering,node_count_calibration,inputs=biohub-deepcenter-unet3d-center-prior-v1 | competitions | datasets; weights=/kaggle/input/biohub-deepcenter-unet3d-center-prior-v1/weights/full_frame_center/best.pt | /kaggle/input/biohub-deepcenter-unet3d-center-prior-v1/weights/full_frame_center/checkpoint_last.pt | /split_0/edge_predictor_best.pt | best.pt | checkpoint_last.pt | edge_predictor_best.pt | full_frame_center/best.pt | last.pt | weights/full_frame_center/best.pt,metric_division_jaccard | metric_edge_jaccard,NONE_EXTRACTED,UNKNOWN_UNBOUND,0.933,NOT_VERIFIED_OUTPUTS_EMPTY; accelerator=NvidiaTeslaT4,FULL_SOURCE_READ; current_version=37; source_sha256=e3e9c4b2720a3b671ba5014498564638e303d5075926c420dd992ab45befb9b2; outputs=0,UNKNOWN_NOT_EXPOSED,OUTPUTS_CLEARED_OR_ABSENT_IN_GETKERNEL_SOURCE | ScriptVersionId=UNKNOWN | PAGE_SCORE_NOT_BOUND_TO_CURRENT_SOURCE_OR_SUBMISSION | TRAINING_EXECUTION_NOT_VERIFIED,KAGGLE_CODE_ANHADMAHAJAN06_BIOHUB-TRACK-YOUR-CELLS-DEVELOPMENT | NOTEBOOK_CELL_AUDIT
KAGGLE_CODE_FLEXONAFFT_BIOHUB-HARMONIC-FUSION,flexonafft,biohub-harmonic-fusion,25,UNKNOWN,detection_dog_log | detection_threshold | model_3d_unet,segmentation_connected_components,segmentation_connected_components,gap_closing | linking_graph | linking_hungarian | linking_nearest_neighbor | motion_kalman,linking_hungarian | optimization_ilp_motile,division_detection,track_filtering,node_count_calibration,inputs=biohub-deepcenter-unet3d-center-prior-v1 | competitions | datasets; weights=/kaggle/input/biohub-deepcenter-unet3d-center-prior-v1/weights/full_frame_center/best.pt | /kaggle/input/biohub-deepcenter-unet3d-center-prior-v1/weights/full_frame_center/checkpoint_last.pt | /split_0/edge_predictor_best.pt | best.pt | checkpoint_last.pt | edge_predictor_best.pt | full_frame_center/best.pt | last.pt | weights/full_frame_center/best.pt,metric_division_jaccard | metric_edge_jaccard,NONE_EXTRACTED,UNKNOWN_UNBOUND,0.933,NOT_VERIFIED_OUTPUTS_EMPTY; accelerator=NvidiaTeslaT4,FULL_SOURCE_READ; current_version=25; source_sha256=3a2e1c7798904a91a0ee3fafa74f09f4f970e780ef970752a52bf11767986099; outputs=0,UNKNOWN_NOT_EXPOSED,OUTPUTS_CLEARED_OR_ABSENT_IN_GETKERNEL_SOURCE | ScriptVersionId=UNKNOWN | PAGE_SCORE_NOT_BOUND_TO_CURRENT_SOURCE_OR_SUBMISSION | TRAINING_EXECUTION_NOT_VERIFIED,KAGGLE_CODE_FLEXONAFFT_BIOHUB-HARMONIC-FUSION | NOTEBOOK_CELL_AUDIT
KAGGLE_CODE_KUNALDESALE2408_BIOHUB-CELL-TRACKING,kunaldesale2408,biohub-cell-tracking,6,UNKNOWN,detection_threshold | model_3d_unet,NOT_FOUND_IN_CODE_SCAN,NOT_FOUND_IN_CODE_SCAN,gap_closing | linking_graph | linking_hungarian | linking_nearest_neighbor | motion_kalman,linking_hungarian | optimization_ilp_motile,division_detection,track_filtering,node_count_calibration,inputs=biohub-deepcenter-unet3d-center-prior-v1 | competitions | datasets; weights=/kaggle/input/biohub-deepcenter-unet3d-center-prior-v1/weights/full_frame_center/checkpoint_last.pt | /split_0/edge_predictor_best.pt | best.pt | checkpoint_last.pt | edge_predictor_best.pt | last.pt | weights/full_frame_center/checkpoint_last.pt,NO_METRIC_CV_CODE_SIGNAL_FOUND,NONE_EXTRACTED,UNKNOWN_UNBOUND,0.926,NOT_VERIFIED_OUTPUTS_EMPTY; accelerator=NvidiaTeslaT4,FULL_SOURCE_READ; current_version=6; source_sha256=1f1cbdb26779cc3a14cc2fa4e3649e78897d57ec0a69cd8cf77a0c185fda4a3a; outputs=0,UNKNOWN_NOT_EXPOSED,OUTPUTS_CLEARED_OR_ABSENT_IN_GETKERNEL_SOURCE | ScriptVersionId=UNKNOWN | PAGE_SCORE_NOT_BOUND_TO_CURRENT_SOURCE_OR_SUBMISSION | TRAINING_EXECUTION_NOT_VERIFIED,KAGGLE_CODE_KUNALDESALE2408_BIOHUB-CELL-TRACKING | NOTEBOOK_CELL_AUDIT
KAGGLE_CODE_ALIOMAN_BIOHUB-V19C-PUBLIC0939-SIS14-ONLY,alioman,biohub-v19c-public0939-sis14-only,1,UNKNOWN,detection_dog_log | detection_threshold | model_3d_unet,segmentation_connected_components,segmentation_connected_components,gap_closing | linking_graph | linking_hungarian | linking_nearest_neighbor | motion_kalman,linking_hungarian | optimization_ilp_motile,division_detection,track_filtering,node_count_calibration,inputs=biohub-deepcenter-unet3d-center-prior-v1 | competitions | datasets; weights=/kaggle/input/biohub-deepcenter-unet3d-center-prior-v1/weights/full_frame_center/best.pt | /split_0/edge_predictor_best.pt | best.pt | checkpoint_last.pt | edge_predictor_best.pt | full_frame_center/best.pt | last.pt | weights/full_frame_center/best.pt,metric_division_jaccard | metric_edge_jaccard,NONE_EXTRACTED,UNKNOWN_UNBOUND,0.939,NOT_VERIFIED_OUTPUTS_EMPTY; accelerator=NvidiaTeslaT4,FULL_SOURCE_READ; current_version=1; source_sha256=363139b1f15ebd4b822b286019c0ce46533d0e045cdb31a99a9ffe0d7c208fd9; outputs=0,UNKNOWN_NOT_EXPOSED,OUTPUTS_CLEARED_OR_ABSENT_IN_GETKERNEL_SOURCE | ScriptVersionId=UNKNOWN | PAGE_SCORE_NOT_BOUND_TO_CURRENT_SOURCE_OR_SUBMISSION | TRAINING_EXECUTION_NOT_VERIFIED,KAGGLE_CODE_ALIOMAN_BIOHUB-V19C-PUBLIC0939-SIS14-ONLY | NOTEBOOK_CELL_AUDIT
KAGGLE_CODE_RISHABHR0Y_BIOHUB-DIV45-STACK,rishabhr0y,biohub-div45-stack,1,UNKNOWN,detection_dog_log | detection_threshold | model_3d_unet,segmentation_connected_components,segmentation_connected_components,gap_closing | linking_graph | linking_hungarian | linking_nearest_neighbor | motion_kalman,linking_hungarian | optimization_ilp_motile,division_detection,track_filtering,node_count_calibration,inputs=biohub-deepcenter-unet3d-center-prior-v1 | competitions | datasets; weights=/kaggle/input/biohub-deepcenter-unet3d-center-prior-v1/weights/full_frame_center/best.pt | /split_0/edge_predictor_best.pt | best.pt | checkpoint_last.pt | edge_predictor_best.pt | full_frame_center/best.pt | last.pt | weights/full_frame_center/best.pt,metric_division_jaccard | metric_edge_jaccard,NONE_EXTRACTED,UNKNOWN_UNBOUND,0.938,NOT_VERIFIED_OUTPUTS_EMPTY; accelerator=NvidiaTeslaT4,FULL_SOURCE_READ; current_version=1; source_sha256=34d5a5dff9c1c7e3e00ebed54f8b9d8fc58db94a1313d7f19ac56066281b4610; outputs=0,UNKNOWN_NOT_EXPOSED,OUTPUTS_CLEARED_OR_ABSENT_IN_GETKERNEL_SOURCE | ScriptVersionId=UNKNOWN | PAGE_SCORE_NOT_BOUND_TO_CURRENT_SOURCE_OR_SUBMISSION | TRAINING_EXECUTION_NOT_VERIFIED,KAGGLE_CODE_RISHABHR0Y_BIOHUB-DIV45-STACK | NOTEBOOK_CELL_AUDIT
KAGGLE_CODE_CLOUDSSDUT_BIOHUB-0-948-REPRODUCTION-20260901,cloudssdut,biohub-0-948-reproduction-20260901,1,UNKNOWN,detection_dog_log | detection_threshold | model_3d_unet,segmentation_connected_components,segmentation_connected_components,gap_closing | linking_graph | linking_hungarian | linking_nearest_neighbor | motion_kalman,linking_hungarian | optimization_ilp_motile,division_detection,track_filtering,node_count_calibration,inputs=biohub-deepcenter-unet3d-center-prior-v1 | competitions | datasets; weights=/kaggle/input/biohub-deepcenter-unet3d-center-prior-v1/weights/full_frame_center/best.pt | /kaggle/input/biohub-deepcenter-unet3d-center-prior-v1/weights/full_frame_center/checkpoint_last.pt | /split_0/edge_predictor_best.pt | best.pt | checkpoint_last.pt | edge_predictor_best.pt | full_frame_center/best.pt | last.pt | weights/full_frame_center/best.pt,metric_division_jaccard | metric_edge_jaccard,NONE_EXTRACTED,UNKNOWN_UNBOUND,0.935,NOT_VERIFIED_OUTPUTS_EMPTY; accelerator=NvidiaTeslaT4,FULL_SOURCE_READ; current_version=1; source_sha256=1c169787fea15e97014bf5e7b94c34db47efa4471165446e44ded03ce6bfe177; outputs=0,UNKNOWN_NOT_EXPOSED,OUTPUTS_CLEARED_OR_ABSENT_IN_GETKERNEL_SOURCE | ScriptVersionId=UNKNOWN | PAGE_SCORE_NOT_BOUND_TO_CURRENT_SOURCE_OR_SUBMISSION | TRAINING_EXECUTION_NOT_VERIFIED,KAGGLE_CODE_CLOUDSSDUT_BIOHUB-0-948-REPRODUCTION-20260901 | NOTEBOOK_CELL_AUDIT
KAGGLE_CODE_AAGNEYE_BIOHUB-V23-DIVISION-REBUILD-RECLAIM,aagneye,biohub-v23-division-rebuild-reclaim,1,UNKNOWN,detection_dog_log | detection_threshold | model_3d_unet,NOT_FOUND_IN_CODE_SCAN,NOT_FOUND_IN_CODE_SCAN,gap_closing | linking_graph | linking_hungarian | linking_nearest_neighbor | motion_kalman,linking_hungarian | optimization_ilp_motile,division_detection,track_filtering,node_count_calibration,inputs=biohub-deepcenter-unet3d-center-prior-v1 | competitions | datasets; weights=/kaggle/input/biohub-deepcenter-unet3d-center-prior-v1/weights/full_frame_center/checkpoint_last.pt | /split_0/edge_predictor_best.pt | best.pt | checkpoint_last.pt | edge_predictor_best.pt | last.pt | weights/full_frame_center/checkpoint_last.pt,NO_METRIC_CV_CODE_SIGNAL_FOUND,0,UNKNOWN_UNBOUND,,NOT_VERIFIED_OUTPUTS_EMPTY; accelerator=NvidiaTeslaT4,FULL_SOURCE_READ; current_version=1; source_sha256=67a4aadd83a96c8755e7a983c3acd22cd3e9caa3e3ea0a075d135d4145db5faa; outputs=0,UNKNOWN_NOT_EXPOSED,OUTPUTS_CLEARED_OR_ABSENT_IN_GETKERNEL_SOURCE | ScriptVersionId=UNKNOWN | PAGE_SCORE_NOT_BOUND_TO_CURRENT_SOURCE_OR_SUBMISSION | TRAINING_EXECUTION_NOT_VERIFIED,KAGGLE_CODE_AAGNEYE_BIOHUB-V23-DIVISION-REBUILD-RECLAIM | NOTEBOOK_CELL_AUDIT
KAGGLE_CODE_PAWANMALI_BIOHUB-CLI-LEARNED-DIV-V1,pawanmali,biohub-cli-learned-div-v1,2,UNKNOWN,detection_dog_log | detection_threshold,NOT_FOUND_IN_CODE_SCAN,NOT_FOUND_IN_CODE_SCAN,gap_closing | linking_graph,optimization_ilp_motile,division_detection,NOT_FOUND_IN_CODE_SCAN,NOT_FOUND_IN_CODE_SCAN,inputs=competitions | datasets; weights=/split_0/edge_predictor_best.pt | division_head_best.pt | edge_predictor_best.pt,metric_division_jaccard | metric_edge_jaccard,0.9338,UNKNOWN_UNBOUND,0.889,NOT_VERIFIED_OUTPUTS_EMPTY; accelerator=NvidiaTeslaT4,FULL_SOURCE_READ; current_version=2; source_sha256=004762466e5a9569c0084c7d91cecead3827773177763c7b6c074151876217ef; outputs=0,UNKNOWN_NOT_EXPOSED,OUTPUTS_CLEARED_OR_ABSENT_IN_GETKERNEL_SOURCE | ScriptVersionId=UNKNOWN | PAGE_SCORE_NOT_BOUND_TO_CURRENT_SOURCE_OR_SUBMISSION | TRAINING_EXECUTION_NOT_VERIFIED,KAGGLE_CODE_PAWANMALI_BIOHUB-CLI-LEARNED-DIV-V1 | NOTEBOOK_CELL_AUDIT
KAGGLE_CODE_MDMAHFUJULKARIM_BIOHUB-CELL-TRACKING-GRAPH-PIPELINE,mdmahfujulkarim,biohub-cell-tracking-graph-pipeline,28,UNKNOWN,detection_dog_log | detection_local_maxima | detection_threshold | model_3d_unet,NOT_FOUND_IN_CODE_SCAN,detection_local_maxima,gap_closing | linking_hungarian | linking_nearest_neighbor,linking_hungarian,NOT_FOUND_IN_CODE_SCAN,NOT_FOUND_IN_CODE_SCAN,node_count_calibration,inputs=biohub-cell-tracking-during-development | biohub-unet3d-weights | competitions; weights=unet3d_bright.pt | unet3d_traintophat.pt,NO_METRIC_CV_CODE_SIGNAL_FOUND,NONE_EXTRACTED,UNKNOWN_UNBOUND,0.003,NOT_VERIFIED_OUTPUTS_EMPTY; accelerator=Gpu,FULL_SOURCE_READ; current_version=28; source_sha256=e7e5e435034ce666aaa7c11ec9087fc59a3656e3e780a4b315b0574f10f8c244; outputs=0,UNKNOWN_NOT_EXPOSED,OUTPUTS_CLEARED_OR_ABSENT_IN_GETKERNEL_SOURCE | ScriptVersionId=UNKNOWN | PAGE_SCORE_NOT_BOUND_TO_CURRENT_SOURCE_OR_SUBMISSION | TRAINING_EXECUTION_NOT_VERIFIED,KAGGLE_CODE_MDMAHFUJULKARIM_BIOHUB-CELL-TRACKING-GRAPH-PIPELINE | NOTEBOOK_CELL_AUDIT
KAGGLE_CODE_DFHGFDGHFDHG_BIOHUB-FINAL-CYTO2,dfhgfdghfdhg,biohub-final-cyto2,1,UNKNOWN,detection_threshold | model_cellpose,model_cellpose,model_cellpose,linking_graph | linking_nearest_neighbor,optimization_ilp_motile,NOT_FOUND_IN_CODE_SCAN,NOT_FOUND_IN_CODE_SCAN,NOT_FOUND_IN_CODE_SCAN,inputs=competitions; weights=,NO_METRIC_CV_CODE_SIGNAL_FOUND,NONE_EXTRACTED,UNKNOWN_UNBOUND,,NOT_VERIFIED_OUTPUTS_EMPTY; accelerator=Gpu,FULL_SOURCE_READ; current_version=1; source_sha256=9e9c14475905b26b8ceaecd24b42bedce258db1cddfd59d49b285b7665f7b9ef; outputs=0,UNKNOWN_NOT_EXPOSED,OUTPUTS_CLEARED_OR_ABSENT_IN_GETKERNEL_SOURCE | ScriptVersionId=UNKNOWN | PAGE_SCORE_NOT_BOUND_TO_CURRENT_SOURCE_OR_SUBMISSION | TRAINING_EXECUTION_NOT_VERIFIED,KAGGLE_CODE_DFHGFDGHFDHG_BIOHUB-FINAL-CYTO2 | NOTEBOOK_CELL_AUDIT
KAGGLE_CODE_AAAA1597_S1-06-STARDIST-BTRACK-PIPELINE,aaaa1597,s1-06-stardist-btrack-pipeline,36,UNKNOWN,detection_dog_log | detection_local_maxima | detection_threshold,segmentation_connected_components,detection_local_maxima | segmentation_connected_components,linking_graph | linking_nearest_neighbor,NOT_FOUND_IN_CODE_SCAN,division_detection,track_filtering,node_count_calibration,inputs=... | competitions | datasets; weights=,metric_division_jaccard | metric_edge_jaccard,NONE_EXTRACTED,UNKNOWN_UNBOUND,0.648,NOT_VERIFIED_OUTPUTS_EMPTY; accelerator=None,FULL_SOURCE_READ; current_version=36; source_sha256=714dda7c23860743e7906fcce6de45262b9d9493850f734873b267aa5b33ad9c; outputs=0,UNKNOWN_NOT_EXPOSED,OUTPUTS_CLEARED_OR_ABSENT_IN_GETKERNEL_SOURCE | ScriptVersionId=UNKNOWN | PAGE_SCORE_NOT_BOUND_TO_CURRENT_SOURCE_OR_SUBMISSION | TRAINING_EXECUTION_NOT_VERIFIED | TITLE_OR_MARKDOWN_METHOD_NOT_IMPLEMENTED_IN_CODE=model_stardist,KAGGLE_CODE_AAAA1597_S1-06-STARDIST-BTRACK-PIPELINE | NOTEBOOK_CELL_AUDIT
