source_id,owner_dataset,url_ref,title,created_at,updated_at,size,license,usability,votes,download_count,files,file_formats,microscopy_type,species,dimensions,time_dimension,labels,relevance,possible_use,rule_eligibility_checked,leakage_risk,compatibility,read_status,evidence_path,notes
dataset_page_dariushafshar_biohub_local_cv_pack,dariushafshar/biohub-local-cv-pack,https://www.kaggle.com/datasets/dariushafshar/biohub-local-cv-pack,"Biohub Local CV Pack: Folds, GT Stats, Scorer",UNKNOWN,UNKNOWN; browser page only gave relative age where visible,observed_file_bytes=333950; may be partial,CC0-1.0,1,UNKNOWN,91,observed_count=11; complete=True; examples=README.md | build_pack.py | control.py | eval_setup.py | folds_prefix_holdout.csv | fork162_per_volume_run_stats.csv | gen_meta.py | gt_per_volume_stats.csv,"{"".csv"": 5, "".md"": 1, "".py"": 5}",3D fluorescence light-sheet or competition artifact,zebrafish embryo / not applicable,3D,yes,"GEFF graph, weights, code, notebook or submission artifacts",very high,metadata/reproducibility reference only pending rule review,false,DO_NOT_USE_PENDING_RULE_REVIEW,current-competition-derived; rule and leakage review mandatory,FULL_PAGE_BODY_READ,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/community_history_data/evidence/browser_dataset_page_reads.jsonl,selection=competition CV and GT statistics; cli_metadata_exit=0; cli_files_exit=0; browser_evidence=evidence/browser_dataset_page_reads.jsonl; no content downloaded
dataset_page_ideaplatsteven_biohub_celltrack_pipeline,ideaplatsteven/biohub-celltrack-pipeline,https://www.kaggle.com/datasets/ideaplatsteven/biohub-celltrack-pipeline,Biohub CellTrack Pipeline (norel7),UNKNOWN,UNKNOWN; browser page only gave relative age where visible,observed_file_bytes=330616439; may be partial,unknown,0.5,1,43,observed_count=83; complete=True; examples=baseline/augmentations.py | baseline/csv_to_geffs.py | baseline/dataspec.py | baseline/evaluate.py | baseline/geffs_to_csv.py | baseline/predict_unet_transformer.py | baseline/src/tracking_cellmot/__init__.py | baseline/src/tracking_cellmot/division_metrics.py,"{"".pth"": 1, "".py"": 20, "".whl"": 62}",3D fluorescence light-sheet or competition artifact,zebrafish embryo / not applicable,3D,yes,"GEFF graph, weights, code, notebook or submission artifacts",very high,metadata/reproducibility reference only pending rule review,false,DO_NOT_USE_PENDING_RULE_REVIEW,current-competition-derived; rule and leakage review mandatory,FULL_PAGE_BODY_READ,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/community_history_data/evidence/browser_dataset_page_reads.jsonl,selection=competition pipeline and tracksdata; cli_metadata_exit=0; cli_files_exit=0; browser_evidence=evidence/browser_dataset_page_reads.jsonl; no content downloaded
dataset_page_aaaa1597_cell_tracking_src,aaaa1597/cell-tracking-src,https://www.kaggle.com/datasets/aaaa1597/cell-tracking-src,Cell Tracking Src,UNKNOWN,UNKNOWN; browser page only gave relative age where visible,observed_file_bytes=323250; may be partial,MIT,0.25,1,79,observed_count=49; complete=True; examples=src/dataset_3d.py | src/eda_visualizer.py | src/geff/__init__.py | src/geff/_cli.py | src/geff/_graph_libs/README.md | src/geff/_graph_libs/__init__.py | src/geff/_graph_libs/_api_wrapper.py | src/geff/_graph_libs/_backend_protocol.py,"{"".md"": 1, "".py"": 47, "".typed"": 1}",unknown,unknown,unknown,unknown,unknown,low/unknown,metadata/reproducibility reference only pending rule review,false,DO_NOT_USE_PENDING_RULE_REVIEW,not enough metadata,FULL_PAGE_BODY_READ,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/community_history_data/evidence/browser_dataset_page_reads.jsonl,selection=cell-tracking source bundle; cli_metadata_exit=0; cli_files_exit=0; browser_evidence=evidence/browser_dataset_page_reads.jsonl; no content downloaded
dataset_page_ayeshasummaiyya_royerlabkaggle_cell_tracking_competition,ayeshasummaiyya/royerlabkaggle-cell-tracking-competition,https://www.kaggle.com/datasets/ayeshasummaiyya/royerlabkaggle-cell-tracking-competition,royerlab/kaggle-cell-tracking-competition,UNKNOWN,UNKNOWN; browser page only gave relative age where visible,5.75 MB (browser page),unknown,0.1875,UNKNOWN,31,observed_count=49; complete=True; examples=kaggle-cell-tracking-competition-main/.gitignore | kaggle-cell-tracking-competition-main/LICENSE | kaggle-cell-tracking-competition-main/README.md | kaggle-cell-tracking-competition-main/assets/demo.gif | kaggle-cell-tracking-competition-main/assets/division.svg | kaggle-cell-tracking-competition-main/assets/figure.svg | kaggle-cell-tracking-competition-main/assets/late_division.svg | kaggle-cell-tracking-competition-main/metrics.md,"{"".gif"": 1, "".json"": 14, "".md"": 2, "".py"": 26, "".svg"": 3, "".toml"": 1, ""[no_extension]"": 2}",3D fluorescence light-sheet or competition artifact,zebrafish embryo / not applicable,3D,yes,"GEFF graph, weights, code, notebook or submission artifacts",very high,metadata/reproducibility reference only pending rule review,false,DO_NOT_USE_PENDING_RULE_REVIEW,current-competition-derived; rule and leakage review mandatory,FULL_PAGE_BODY_READ,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/community_history_data/evidence/browser_dataset_page_reads.jsonl,selection=mirror of required starter repository; cli_metadata_exit=0; cli_files_exit=0; browser_evidence=evidence/browser_dataset_page_reads.jsonl; no content downloaded
dataset_page_omararaby1_kaggle_cell_tracking_competition,omararaby1/kaggle-cell-tracking-competition,https://www.kaggle.com/datasets/omararaby1/kaggle-cell-tracking-competition,kaggle-cell-tracking-competition,UNKNOWN,UNKNOWN; browser page only gave relative age where visible,5.75 MB (browser page),unknown,0.25,UNKNOWN,6,observed_count=49; complete=True; examples=.gitignore | LICENSE | README.md | assets/demo.gif | assets/division.svg | assets/figure.svg | assets/late_division.svg | metrics.md,"{"".gif"": 1, "".json"": 14, "".md"": 2, "".py"": 26, "".svg"": 3, "".toml"": 1, ""[no_extension]"": 2}",3D fluorescence light-sheet or competition artifact,zebrafish embryo / not applicable,3D,yes,"GEFF graph, weights, code, notebook or submission artifacts",very high,metadata/reproducibility reference only pending rule review,false,DO_NOT_USE_PENDING_RULE_REVIEW,current-competition-derived; rule and leakage review mandatory,FULL_PAGE_BODY_READ,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/community_history_data/evidence/browser_dataset_page_reads.jsonl,selection=second starter repository mirror; cli_metadata_exit=0; cli_files_exit=0; browser_evidence=evidence/browser_dataset_page_reads.jsonl; no content downloaded
dataset_page_rommelsharma_biohub_tracking_src,rommelsharma/biohub-tracking-src,https://www.kaggle.com/datasets/rommelsharma/biohub-tracking-src,biohub-tracking-src,UNKNOWN,UNKNOWN; browser page only gave relative age where visible,observed_file_bytes=44772; may be partial,CC-BY-SA-4.0,0.625,3,62,observed_count=19; complete=True; examples=src/biohub_tracking/__init__.py | src/biohub_tracking/data/__init__.py | src/biohub_tracking/data/io.py | src/biohub_tracking/data/probe.py | src/biohub_tracking/detect/__init__.py | src/biohub_tracking/detect/classical.py | src/biohub_tracking/detect/dataset.py | src/biohub_tracking/detect/infer.py,"{"".py"": 19}",3D fluorescence light-sheet or competition artifact,zebrafish embryo / not applicable,3D,yes,"GEFF graph, weights, code, notebook or submission artifacts",very high,metadata/reproducibility reference only pending rule review,false,DO_NOT_USE_PENDING_RULE_REVIEW,current-competition-derived; rule and leakage review mandatory,FULL_PAGE_BODY_READ,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/community_history_data/evidence/browser_dataset_page_reads.jsonl,selection=competition tracking source; cli_metadata_exit=0; cli_files_exit=0; browser_evidence=evidence/browser_dataset_page_reads.jsonl; no content downloaded
dataset_page_shorooghahmadi_biohub_embryo_celltrack_v2_ipynb,shorooghahmadi/biohub-embryo-celltrack-v2-ipynb,https://www.kaggle.com/datasets/shorooghahmadi/biohub-embryo-celltrack-v2-ipynb,biohub-embryo-celltrack-v2.ipynb,UNKNOWN,UNKNOWN; browser page only gave relative age where visible,observed_file_bytes=34822; may be partial,apache-2.0,0.5625,3,35,observed_count=1; complete=True; examples=biohub-embryo-celltrack-v2.ipynb,"{"".ipynb"": 1}",3D fluorescence light-sheet or competition artifact,zebrafish embryo / not applicable,3D,yes,"GEFF graph, weights, code, notebook or submission artifacts",very high,metadata/reproducibility reference only pending rule review,false,DO_NOT_USE_PENDING_RULE_REVIEW,current-competition-derived; rule and leakage review mandatory,FULL_PAGE_BODY_READ,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/community_history_data/evidence/browser_dataset_page_reads.jsonl,selection=competition notebook artifact; cli_metadata_exit=0; cli_files_exit=0; browser_evidence=evidence/browser_dataset_page_reads.jsonl; no content downloaded
dataset_page_shubzk17_biohub_cellmot_baseline,shubzk17/biohub-cellmot-baseline,https://www.kaggle.com/datasets/shubzk17/biohub-cellmot-baseline,biohub-cellmot-baseline,UNKNOWN,UNKNOWN; browser page only gave relative age where visible,observed_file_bytes=14216137; may be partial,CC0-1.0,0.625,1,24,observed_count=51; complete=True; examples=LICENSE | README.md | assets/demo.gif | assets/division.svg | assets/figure.svg | assets/late_division.svg | metrics.md | pyproject.toml,"{"".gif"": 1, "".json"": 15, "".md"": 2, "".pth"": 1, "".py"": 27, "".svg"": 3, "".toml"": 1, ""[no_extension]"": 1}",3D fluorescence light-sheet or competition artifact,zebrafish embryo / not applicable,3D,yes,"GEFF graph, weights, code, notebook or submission artifacts",very high,metadata/reproducibility reference only pending rule review,false,DO_NOT_USE_PENDING_RULE_REVIEW,current-competition-derived; rule and leakage review mandatory,FULL_PAGE_BODY_READ,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/community_history_data/evidence/browser_dataset_page_reads.jsonl,selection=competition CellMOT baseline; cli_metadata_exit=0; cli_files_exit=0; browser_evidence=evidence/browser_dataset_page_reads.jsonl; no content downloaded
dataset_page_aradhitadatey_biohub_classical_baseline_ipynb,aradhitadatey/biohub-cell-tracking-classical-baseline-ipynb,https://www.kaggle.com/datasets/aradhitadatey/biohub-cell-tracking-classical-baseline-ipynb,biohub-cell-tracking-classical-baseline.ipynb,UNKNOWN,UNKNOWN; browser page only gave relative age where visible,observed_file_bytes=1126357; may be partial,CC0-1.0,0.125,UNKNOWN,6,observed_count=1; complete=True; examples=biohub-cell-tracking-classical-baseline.ipynb,"{"".ipynb"": 1}",3D fluorescence light-sheet or competition artifact,zebrafish embryo / not applicable,3D,yes,"GEFF graph, weights, code, notebook or submission artifacts",very high,metadata/reproducibility reference only pending rule review,false,DO_NOT_USE_PENDING_RULE_REVIEW,current-competition-derived; rule and leakage review mandatory,FULL_PAGE_BODY_READ,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/community_history_data/evidence/browser_dataset_page_reads.jsonl,selection=competition classical baseline; cli_metadata_exit=0; cli_files_exit=0; browser_evidence=evidence/browser_dataset_page_reads.jsonl; no content downloaded
dataset_page_abdulhamidodejimi_biohub_baseline_script,abdulhamidodejimi/biohub-cell-tracking-baseline-script,https://www.kaggle.com/datasets/abdulhamidodejimi/biohub-cell-tracking-baseline-script,Biohub Cell Tracking - Baseline Script,UNKNOWN,UNKNOWN; browser page only gave relative age where visible,observed_file_bytes=8179; may be partial,CC0-1.0,0.125,1,10,observed_count=1; complete=True; examples=biohub_baseline.py,"{"".py"": 1}",3D fluorescence light-sheet or competition artifact,zebrafish embryo / not applicable,3D,yes,"GEFF graph, weights, code, notebook or submission artifacts",very high,metadata/reproducibility reference only pending rule review,false,DO_NOT_USE_PENDING_RULE_REVIEW,current-competition-derived; rule and leakage review mandatory,FULL_PAGE_BODY_READ,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/community_history_data/evidence/browser_dataset_page_reads.jsonl,selection=competition baseline script; cli_metadata_exit=0; cli_files_exit=0; browser_evidence=evidence/browser_dataset_page_reads.jsonl; no content downloaded
dataset_page_eariosb_trackastra_offline,eariosb/trackastra-offline,https://www.kaggle.com/datasets/eariosb/trackastra-offline,Trackastra Offline (wheels + ctc model) | Kaggle,UNKNOWN,UNKNOWN; browser page only gave relative age where visible,observed_file_bytes=291691052; may be partial,unknown,0.25,UNKNOWN,2,observed_count=24; complete=True; examples=annotated_types-0.7.0-py3-none-any.whl | blosc-1.11.4-cp312-cp312-manylinux2014_x86_64.manylinux_2_17_x86_64.manylinux_2_28_x86_64.whl | chardet-7.4.3-cp312-cp312-manylinux2014_x86_64.manylinux_2_17_x86_64.manylinux_2_28_x86_64.whl | click-8.4.2-py3-none-any.whl | ctc_model/ctc/config.yaml | ctc_model/ctc/model.pt | ctc_model/ctc/train_config.yaml | dask-2026.7.1-py3-none-any.whl,"{"".pt"": 1, "".whl"": 21, "".yaml"": 2}",not a raw microscopy dataset,not applicable,2D/3D-capable package,yes-capable,weights/wheels/software,high,metadata/reproducibility reference only pending rule review,false,DO_NOT_USE_PENDING_RULE_REVIEW,"software/model packaging, not external raw labels",METADATA_ONLY,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/community_history_data/evidence/browser_dataset_page_reads.jsonl,selection=Trackastra offline package and CTC model; cli_metadata_exit=0; cli_files_exit=0; browser_evidence=evidence/browser_dataset_page_reads.jsonl; no content downloaded
dataset_page_subinium_trackastra_weights_mirror,subinium/biohub-trackastra-public-weights-mirror,https://www.kaggle.com/datasets/subinium/biohub-trackastra-public-weights-mirror,Biohub Trackastra Public Weights Mirror,UNKNOWN,UNKNOWN; browser page only gave relative age where visible,262.47 MB (browser page),other,0.375,UNKNOWN,65,observed_count=16; complete=True; examples=ctc/config.yaml | ctc/model.pt | ctc/train_config.yaml | general_2d/config.yaml | general_2d/model.pt | general_2d/train_config.yaml | manifest.json | packages/donfig-0.8.1.post1-py3-none-any.whl,"{"".json"": 1, "".pt"": 2, "".whl"": 9, "".yaml"": 4}",not a raw microscopy dataset,not applicable,2D/3D-capable package,yes-capable,weights/wheels/software,high,metadata/reproducibility reference only pending rule review,false,DO_NOT_USE_PENDING_RULE_REVIEW,"software/model packaging, not external raw labels",FULL_PAGE_BODY_READ,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/community_history_data/evidence/browser_dataset_page_reads.jsonl,selection=competition Trackastra weight mirror; cli_metadata_exit=0; cli_files_exit=0; browser_evidence=evidence/browser_dataset_page_reads.jsonl; no content downloaded
dataset_page_varonvictormiranda_ultrack_offline_min,varonvictormiranda/ultrack-offline-min,https://www.kaggle.com/datasets/varonvictormiranda/ultrack-offline-min,ultrack-offline-min,UNKNOWN,UNKNOWN; browser page only gave relative age where visible,537.39 MB (browser page),CC0-1.0,0.25,UNKNOWN,1,observed_count=167; complete=True; examples=HeapDict-1.0.1-py3-none-any.whl | QtPy-2.4.3-py3-none-any.whl | aiobotocore-3.7.0-py3-none-any.whl | aiohappyeyeballs-2.7.1-py3-none-any.whl | aiohttp-3.14.1-cp312-cp312-manylinux2014_x86_64.manylinux_2_17_x86_64.manylinux_2_28_x86_64.whl | aioitertools-0.13.0-py3-none-any.whl | aiosignal-1.4.0-py3-none-any.whl | annotated_doc-0.0.4-py3-none-any.whl,"{"".whl"": 167}",not a raw microscopy dataset,not applicable,2D/3D-capable package,yes-capable,weights/wheels/software,high,metadata/reproducibility reference only pending rule review,false,DO_NOT_USE_PENDING_RULE_REVIEW,"software/model packaging, not external raw labels",FULL_PAGE_BODY_READ,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/community_history_data/evidence/browser_dataset_page_reads.jsonl,selection=Ultrack offline package; cli_metadata_exit=0; cli_files_exit=0; browser_evidence=evidence/browser_dataset_page_reads.jsonl; no content downloaded
