source_id,discussion_id,title,author,author_role,created_at,updated_at,votes,comment_count,url,topic,read_status,first_post_read,comments_loaded,comments_total,host_reply_present,evidence_path,notes
KDISC_738778,738778,I think we should use GNN for higher scores,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://www.kaggle.com/competitions/biohub-cell-tracking-during-development/discussion/738778,scoring,TITLE_SNIPPET_ONLY,false,0,UNKNOWN,UNKNOWN,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/evidence/discussion_listing_pages_1_3.json,Logged-in Discussion listing discovery only; page=1; rank=12; no body inference.
KDISC_738970,738970,Any advice for starters?,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://www.kaggle.com/competitions/biohub-cell-tracking-during-development/discussion/738970,method_or_operations,TITLE_SNIPPET_ONLY,false,0,UNKNOWN,UNKNOWN,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/evidence/discussion_listing_pages_1_3.json,Logged-in Discussion listing discovery only; page=1; rank=13; no body inference.
KDISC_737101,737101,Stuck at 0.928,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://www.kaggle.com/competitions/biohub-cell-tracking-during-development/discussion/737101,method_or_operations,TITLE_SNIPPET_ONLY,false,0,UNKNOWN,UNKNOWN,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/evidence/discussion_listing_pages_1_3.json,Logged-in Discussion listing discovery only; page=1; rank=14; no body inference.
KDISC_737543,737543,what layer did ur gains actually come from,Kevin Park,Participant,8 days ago,UNKNOWN,3,8,https://www.kaggle.com/competitions/biohub-cell-tracking-during-development/discussion/737543,method_or_operations,FULL_THREAD_READ,true,8,8,false,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/root_discussion_deep_reads.json,多位参赛者讨论检测、链接、division层的相对作用并报告个人CV/LB数值；页面嵌套回复已展开。所有分数均未绑定submission/version，按 COMMUNITY_REPORT 处理。
KDISC_737896,737896,Very dim nodes?,weke,Participant,6 days ago,UNKNOWN,3,3,https://www.kaggle.com/competitions/biohub-cell-tracking-during-development/discussion/737896,method_or_operations,FULL_THREAD_READ,true,3,3,false,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/root_discussion_deep_reads.json,作者给出具体训练样本节点并询问极暗节点是否伪影；回复提出插值或假阳性可能，无官方确认，结论 UNKNOWN。
KDISC_738210,738210,Cannot find any good notebook which shows the training method,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://www.kaggle.com/competitions/biohub-cell-tracking-during-development/discussion/738210,training,TITLE_SNIPPET_ONLY,false,0,UNKNOWN,UNKNOWN,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/evidence/discussion_listing_pages_1_3.json,Logged-in Discussion listing discovery only; page=1; rank=17; no body inference.
KDISC_736937,736937,Public Notebook Rankings Need a Metric Refresh,Yunus Gümüşsoy,Participant,12 days ago,UNKNOWN,5,1,https://www.kaggle.com/competitions/biohub-cell-tracking-during-development/discussion/736937,public_code,FULL_THREAD_READ,true,1,1,false,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/root_discussion_deep_reads.json,参赛者报告 leaderboard 已按修复后 metric 重算，但部分公开 Notebook 页面仍展示补丁前膨胀分数，导致 Highest Score 排序失真；没有主办方回复，因此属于 COMMUNITY_REPORT，但与当前 Notebook 页面分数高于 Leaderboard 顶分的观察一致。
KDISC_737659,737659,Scoring after notebook ran,Alex Amirkhanyan,Participant,8 days ago,UNKNOWN,0,5,https://www.kaggle.com/competitions/biohub-cell-tracking-during-development/discussion/737659,public_code,FULL_THREAD_READ,true,5,5,false,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/root_discussion_deep_reads.json,多名参赛者报告submission scoring耗时6至11小时；没有可绑定提交记录或平台说明，属于 COMMUNITY_REPORT，不可推广为服务SLA。
KDISC_737438,737438,does anyone have a different design for divisions,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://www.kaggle.com/competitions/biohub-cell-tracking-during-development/discussion/737438,division,TITLE_SNIPPET_ONLY,false,0,UNKNOWN,UNKNOWN,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/evidence/discussion_listing_pages_1_3.json,Logged-in Discussion listing discovery only; page=1; rank=20; no body inference.
KDISC_737577,737577,division jaccard,nusrati,Participant,8 days ago,UNKNOWN,1,2,https://www.kaggle.com/competitions/biohub-cell-tracking-during-development/discussion/737577,metric,FULL_THREAD_READ,true,2,2,false,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/root_discussion_deep_reads.json,作者报告其 ILP 在多组权重下 Division Jaccard 近零，真实 division 被大量假阳性淹没；作者随后明确该帖讨论从零训练模型，不能用其当前页面分数解释此实验。没有官方回复，属于 AUTHOR_CLAIM。
KDISC_735352,735352,Possible big leaderboard shakeup,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://www.kaggle.com/competitions/biohub-cell-tracking-during-development/discussion/735352,method_or_operations,TITLE_SNIPPET_ONLY,false,0,UNKNOWN,UNKNOWN,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/evidence/discussion_listing_pages_1_3.json,Logged-in Discussion listing discovery only; page=2; rank=5; no body inference.
KDISC_734604,734604,What is the best model for this domain so far?,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://www.kaggle.com/competitions/biohub-cell-tracking-during-development/discussion/734604,method_or_operations,TITLE_SNIPPET_ONLY,false,0,UNKNOWN,UNKNOWN,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/evidence/discussion_listing_pages_1_3.json,Logged-in Discussion listing discovery only; page=2; rank=6; no body inference.
KDISC_735307,735307,What is happening after submitting the notebook for the first time?,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://www.kaggle.com/competitions/biohub-cell-tracking-during-development/discussion/735307,public_code,TITLE_SNIPPET_ONLY,false,0,UNKNOWN,UNKNOWN,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/evidence/discussion_listing_pages_1_3.json,Logged-in Discussion listing discovery only; page=2; rank=7; no body inference.
KDISC_734237,734237,how long does the submission take?,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://www.kaggle.com/competitions/biohub-cell-tracking-during-development/discussion/734237,method_or_operations,TITLE_SNIPPET_ONLY,false,0,UNKNOWN,UNKNOWN,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/evidence/discussion_listing_pages_1_3.json,Logged-in Discussion listing discovery only; page=2; rank=8; no body inference.
KDISC_734330,734330,Is public Zebrahub data allowed as external training data?,marumarukun,Participant,23 days ago,UNKNOWN,16,3,https://www.kaggle.com/competitions/biohub-cell-tracking-during-development/discussion/734330,external_data,FULL_THREAD_READ,true,3,3,true,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/root_discussion_deep_reads.json,Competition Host Thibgolds明确答复可使用Zebrahub数据和资源，并称与test set无重叠。该回复属于 HOST_CONFIRMED；仍需对具体资产逐项核对许可证与公开可得性。
KDISC_735531,735531,so to get a score above the public baseline is training?,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://www.kaggle.com/competitions/biohub-cell-tracking-during-development/discussion/735531,scoring,TITLE_SNIPPET_ONLY,false,0,UNKNOWN,UNKNOWN,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/evidence/discussion_listing_pages_1_3.json,Logged-in Discussion listing discovery only; page=2; rank=10; no body inference.
KDISC_732474,732474,Errors on GT cell traces,Tim Krige,Participant,a month ago,UNKNOWN,6,2,https://www.kaggle.com/competitions/biohub-cell-tracking-during-development/discussion/732474,ground_truth,FULL_THREAD_READ,true,2,2,false,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/root_discussion_deep_reads.json,作者和评论者报告训练真值轨迹可能存在错误/自动跟踪偏差，但未给出可复核资产或官方回复；属于 COMMUNITY_REPORT，不能视为已证实数据缺陷。
KDISC_724130,724130,Share a custom napari visualizer,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://www.kaggle.com/competitions/biohub-cell-tracking-during-development/discussion/724130,method_or_operations,TITLE_SNIPPET_ONLY,false,0,UNKNOWN,UNKNOWN,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/evidence/discussion_listing_pages_1_3.json,Logged-in Discussion listing discovery only; page=2; rank=12; no body inference.
KDISC_732103,732103,[Free Dataset] 18.5 GB of fully-labelled synthetic 3D microscopy — 165k labelled divisions,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://www.kaggle.com/competitions/biohub-cell-tracking-during-development/discussion/732103,division,TITLE_SNIPPET_ONLY,false,0,UNKNOWN,UNKNOWN,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/evidence/discussion_listing_pages_1_3.json,Logged-in Discussion listing discovery only; page=2; rank=13; no body inference.
KDISC_734192,734192,How much points are you guys getting,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://www.kaggle.com/competitions/biohub-cell-tracking-during-development/discussion/734192,method_or_operations,TITLE_SNIPPET_ONLY,false,0,UNKNOWN,UNKNOWN,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/evidence/discussion_listing_pages_1_3.json,Logged-in Discussion listing discovery only; page=2; rank=14; no body inference.
KDISC_734093,734093,Public case study: From Detection to Identity — 3D cell tracking reasoning and aggregate evidence,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://www.kaggle.com/competitions/biohub-cell-tracking-during-development/discussion/734093,method_or_operations,TITLE_SNIPPET_ONLY,false,0,UNKNOWN,UNKNOWN,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/evidence/discussion_listing_pages_1_3.json,Logged-in Discussion listing discovery only; page=2; rank=15; no body inference.
KDISC_733877,733877,A one-to-one linker scores 0.000 on divisions - four measurements on the metric itself,Luka Duvanov,Participant,a month ago,UNKNOWN,3,0,https://www.kaggle.com/competitions/biohub-cell-tracking-during-development/discussion/733877,scoring,FULL_THREAD_READ,true,0,0,false,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/root_discussion_deep_reads.json,作者声称用官方代码对手工图做四组隔离实验：一对一 linker 无分裂项、重复检测仅受节点数影响，并报告补丁 commit aa65e90 前后合成图差异；这些数值是 AUTHOR_CLAIM，需在固定 commit 源码或可复现实验中另证。
KDISC_734053,734053,"The voxels are 4:1 anisotropic in Z, and two other things sitting in zarr.json",Maximo Lorenzo y Losada,Participant,25 days ago,UNKNOWN,1,0,https://www.kaggle.com/competitions/biohub-cell-tracking-during-development/discussion/734053,data_format,FULL_THREAD_READ,true,0,0,false,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/root_discussion_deep_reads.json,作者从随附Zarr元数据说明物理尺度、强度分位数、time-major chunking及submission图结构。技术事实需与官方data/evaluation交叉核验；性能含义属于 INFERENCE。
KDISC_734015,734015,training on patches or whole volume?,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://www.kaggle.com/competitions/biohub-cell-tracking-during-development/discussion/734015,training,TITLE_SNIPPET_ONLY,false,0,UNKNOWN,UNKNOWN,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/evidence/discussion_listing_pages_1_3.json,Logged-in Discussion listing discovery only; page=2; rank=18; no body inference.
KDISC_733973,733973,"The linking radius is 8.4 µm, and divisions are one link in 853",Luka Duvanov,Participant,25 days ago,UNKNOWN,0,0,https://www.kaggle.com/competitions/biohub-cell-tracking-during-development/discussion/733973,division,FULL_THREAD_READ,true,0,0,false,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/root_discussion_deep_reads.json,"作者声称基于199个训练 movie、128,883个真值 link 统计位移和division稀疏性，并建议按物理单位设链接半径、用Zarr元数据强度分位数归一化。数字是 AUTHOR_CLAIM，需以Notebook源码或独立复算验证。"
KDISC_733389,733389,GEFF node coordinates alignment with Zarr image volume,Estee,Participant,a month ago,UNKNOWN,2,1,https://www.kaggle.com/competitions/biohub-cell-tracking-during-development/discussion/733389,data_format,FULL_THREAD_READ,true,1,1,false,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/root_discussion_deep_reads.json,"作者提问GEFF坐标对齐；普通参赛者回复坐标可直接索引(t,z,y,x)且物理尺度仅用于距离。没有官方回复，故该解释为 COMMUNITY_REPORT。"
KDISC_732674,732674,"Every submission except the unmodified sample_submission.csv gets ""Submission Scoring Error"" (7/7 reproducible)",Krish Rakholiya,Participant,a month ago,UNKNOWN,2,3,https://www.kaggle.com/competitions/biohub-cell-tracking-during-development/discussion/732674,method_or_operations,FULL_THREAD_READ,true,3,3,false,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/root_discussion_deep_reads.json,作者报告7次诊断提交后又公开纠正初始结论，怀疑动态test样本名/时间范围等约束；普通回复指向getting-started Notebook。无官方确认，保留修订过程并归类 AUTHOR_CLAIM。
KDISC_732345,732345,"could someone share training time per epoch of baseline model? Mine is around 2h, batch size=16. Thanks",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://www.kaggle.com/competitions/biohub-cell-tracking-during-development/discussion/732345,training,TITLE_SNIPPET_ONLY,false,0,UNKNOWN,UNKNOWN,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/evidence/discussion_listing_pages_1_3.json,Logged-in Discussion listing discovery only; page=2; rank=22; no body inference.
KDISC_730160,730160,Does CV match LB in this competition?,Chester Yuan,Participant,a month ago,UNKNOWN,5,5,https://www.kaggle.com/competitions/biohub-cell-tracking-during-development/discussion/730160,validation,FULL_THREAD_READ,true,5,5,false,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/root_discussion_deep_reads.json,参赛者报告公开权重可能在全部199训练视频训练、训练内CV会泄漏，并建议leave-one-embryo-out；多组CV/LB数字均未绑定版本或submission，属于 COMMUNITY_REPORT。
KDISC_724283,724283,beware of jumps in ground truth track,hengck23,Participant,2 months ago,UNKNOWN,40,15,https://www.kaggle.com/competitions/biohub-cell-tracking-during-development/discussion/724283,ground_truth,FULL_THREAD_READ,true,15,15,false,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/root_discussion_deep_reads.json,作者及评论者报告6bba训练样本存在重复帧/跳帧，并给出199视频扫描的具体计数；全部为参赛者自述，未独立复算也无官方回复。页面标题计数为7个顶层评论，另展开8个嵌套回复，共实际加载15条。
KDISC_730924,730924,What model/feature diversity helped beyond the two-seed logit-blend plateau (~0.91)?,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://www.kaggle.com/competitions/biohub-cell-tracking-during-development/discussion/730924,method_or_operations,TITLE_SNIPPET_ONLY,false,0,UNKNOWN,UNKNOWN,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/evidence/discussion_listing_pages_1_3.json,Logged-in Discussion listing discovery only; page=3; rank=5; no body inference.
KDISC_729930,729930,How to minimize training time,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://www.kaggle.com/competitions/biohub-cell-tracking-during-development/discussion/729930,training,TITLE_SNIPPET_ONLY,false,0,UNKNOWN,UNKNOWN,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/evidence/discussion_listing_pages_1_3.json,Logged-in Discussion listing discovery only; page=3; rank=6; no body inference.
KDISC_726924,726924,Cotracker and other methods,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://www.kaggle.com/competitions/biohub-cell-tracking-during-development/discussion/726924,method_or_operations,TITLE_SNIPPET_ONLY,false,0,UNKNOWN,UNKNOWN,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/evidence/discussion_listing_pages_1_3.json,Logged-in Discussion listing discovery only; page=3; rank=7; no body inference.
KDISC_730486,730486,A 3D spatiotemporal cell tracking and lineage graph extraction engine leveraging Graph Exchange File Format (GEFF) data to track embryonic cell nuclei across 4D developmental microscopy volumes.,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://www.kaggle.com/competitions/biohub-cell-tracking-during-development/discussion/730486,data_format,TITLE_SNIPPET_ONLY,false,0,UNKNOWN,UNKNOWN,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/evidence/discussion_listing_pages_1_3.json,Logged-in Discussion listing discovery only; page=3; rank=8; no body inference.
KDISC_729082,729082,"Exact duplicate volumes, but GT edge moves 8.9 µm",g john rao,Participant,a month ago,UNKNOWN,10,1,https://www.kaggle.com/competitions/biohub-cell-tracking-during-development/discussion/729082,ground_truth,FULL_THREAD_READ,true,1,1,false,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/root_discussion_deep_reads.json,作者给出具体训练样本/帧和位移计算，报告连续volume字节相同而GT节点移动8.90µm；评论补充观察。未独立复算，属于 AUTHOR_CLAIM/COMMUNITY_REPORT。
KDISC_728613,728613,Submission scores 0.0 despite ~0.57 locally with the official evaluate(),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://www.kaggle.com/competitions/biohub-cell-tracking-during-development/discussion/728613,scoring,TITLE_SNIPPET_ONLY,false,0,UNKNOWN,UNKNOWN,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/evidence/discussion_listing_pages_1_3.json,Logged-in Discussion listing discovery only; page=3; rank=10; no body inference.
KDISC_729053,729053,not all sparse GT edge are correct,hengck23,Participant,a month ago,UNKNOWN,13,1,https://www.kaggle.com/competitions/biohub-cell-tracking-during-development/discussion/729053,ground_truth,FULL_THREAD_READ,true,1,1,false,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/root_discussion_deep_reads.json,作者称发现低频GT edge错误，评论链接具体Notebook版本并给出另一种解释。没有官方确认或独立复算，属于 COMMUNITY_REPORT。
KDISC_728551,728551,Post-patch: is the 0.91+ frontier separated by the edge term or by divisions?,Arul Prasad S P,Participant,a month ago,UNKNOWN,6,2,https://www.kaggle.com/competitions/biohub-cell-tracking-during-development/discussion/728551,division,FULL_THREAD_READ,true,2,2,false,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/root_discussion_deep_reads.json,作者讨论补丁后edge/division项分离，并报告其HOCT合成球输入实验性能与耗时；评论仅含参赛者约0.2的模糊猜测。无官方回复，均为 COMMUNITY_REPORT/AUTHOR_CLAIM。
KDISC_730054,730054,How to Save n Run All with AI tools,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://www.kaggle.com/competitions/biohub-cell-tracking-during-development/discussion/730054,method_or_operations,TITLE_SNIPPET_ONLY,false,0,UNKNOWN,UNKNOWN,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/evidence/discussion_listing_pages_1_3.json,Logged-in Discussion listing discovery only; page=3; rank=13; no body inference.
KDISC_729057,729057,Cell Tracking Challenge dataset,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://www.kaggle.com/competitions/biohub-cell-tracking-during-development/discussion/729057,method_or_operations,TITLE_SNIPPET_ONLY,false,0,UNKNOWN,UNKNOWN,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/evidence/discussion_listing_pages_1_3.json,Logged-in Discussion listing discovery only; page=3; rank=14; no body inference.
KDISC_730149,730149,Submission Time,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://www.kaggle.com/competitions/biohub-cell-tracking-during-development/discussion/730149,method_or_operations,TITLE_SNIPPET_ONLY,false,0,UNKNOWN,UNKNOWN,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/evidence/discussion_listing_pages_1_3.json,Logged-in Discussion listing discovery only; page=3; rank=15; no body inference.
KDISC_728324,728324,COMPLETED: Rescore Underway,inversion,Kaggle Staff,a month ago,UNKNOWN,20,4,https://www.kaggle.com/competitions/biohub-cell-tracking-during-development/discussion/728324,leaderboard_recalculation,FULL_THREAD_READ,true,4,4,false,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/root_discussion_deep_reads.json,Kaggle Staff 公告 metric 已补丁并启动全量重算，期间分数可能暂时消失，多数提交预计至少小幅下降；同一 staff 后续评论明确重算完成。参赛者要求刷新公开 Notebook 页面分数，未见此帖给出已刷新确认。
KDISC_727154,727154,Division Metric exploit and patch.,Thibgolds,Competition Host,2 months ago,UNKNOWN,35,14,https://www.kaggle.com/competitions/biohub-cell-tracking-during-development/discussion/727154,metric_patch,FULL_THREAD_READ,true,14,14,true,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/root_discussion_deep_reads.json,主办方确认 Division Jaccard 存在 exploit，补丁已公开并将重算全部提交；非主动利用者预计不受影响。评论中主办方更新重算正在运行；参赛者对漏洞机制的解释仅属社区报告，需由代码另证。
KDISC_729420,729420,Training Data Update and Version Status,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://www.kaggle.com/competitions/biohub-cell-tracking-during-development/discussion/729420,training,TITLE_SNIPPET_ONLY,false,0,UNKNOWN,UNKNOWN,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/evidence/discussion_listing_pages_1_3.json,Logged-in Discussion listing discovery only; page=3; rank=18; no body inference.
