stem,embryo_prefix,embryo_group,visible_test_copy,train_zarr_present,train_geff_present,required_metadata_paths_present,estimated_number_of_nodes_content,official_scorer_eligibility,included_in_frozen_inventory,exclusion_reason,train_zarr_file_count,train_zarr_total_bytes,train_geff_file_count,train_geff_total_bytes,missing_required_image_paths,missing_required_gt_paths,evidence_class
44b6_808952d6,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,447428718,21,8748,,,HOST_CONFIRMED_METADATA_ONLY
44b6_81c256f0,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,406767384,21,8731,,,HOST_CONFIRMED_METADATA_ONLY
44b6_87bba6c4,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,490466193,21,8511,,,HOST_CONFIRMED_METADATA_ONLY
44b6_8cc6506c,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,526273798,21,9747,,,HOST_CONFIRMED_METADATA_ONLY
44b6_8f5ab931,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,485921971,21,11438,,,HOST_CONFIRMED_METADATA_ONLY
44b6_8f9ecab4,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,547633463,21,9586,,,HOST_CONFIRMED_METADATA_ONLY
44b6_90724892,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,473810941,21,7989,,,HOST_CONFIRMED_METADATA_ONLY
44b6_949adeb1,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,517562962,21,9897,,,HOST_CONFIRMED_METADATA_ONLY
44b6_95029e92,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,362988464,21,8855,,,HOST_CONFIRMED_METADATA_ONLY
44b6_97725144,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,545909170,21,9192,,,HOST_CONFIRMED_METADATA_ONLY
44b6_996155de,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,423932277,21,9738,,,HOST_CONFIRMED_METADATA_ONLY
44b6_9be80b04,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,548031429,21,8849,,,HOST_CONFIRMED_METADATA_ONLY
44b6_9bfa6a0a,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,514800940,21,9248,,,HOST_CONFIRMED_METADATA_ONLY
44b6_a21120c2,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,429380147,21,9489,,,HOST_CONFIRMED_METADATA_ONLY
44b6_a2bb48bb,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,607764799,21,10036,,,HOST_CONFIRMED_METADATA_ONLY
44b6_aaf8b0ea,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,475579284,21,8888,,,HOST_CONFIRMED_METADATA_ONLY
44b6_abf82518,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,429580884,21,7969,,,HOST_CONFIRMED_METADATA_ONLY
44b6_b2c44266,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,531018369,21,8544,,,HOST_CONFIRMED_METADATA_ONLY
44b6_c15fded2,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,442479736,21,8045,,,HOST_CONFIRMED_METADATA_ONLY
44b6_c50204e0,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,565311771,21,9704,,,HOST_CONFIRMED_METADATA_ONLY
44b6_c771cb04,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,575232437,21,8974,,,HOST_CONFIRMED_METADATA_ONLY
44b6_c8e2a523,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,466004648,21,8579,,,HOST_CONFIRMED_METADATA_ONLY
44b6_c96cfa10,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,502062575,21,11417,,,HOST_CONFIRMED_METADATA_ONLY
44b6_cf2536e8,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,516692705,21,7714,,,HOST_CONFIRMED_METADATA_ONLY
44b6_cf8fed6b,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,463357905,21,8837,,,HOST_CONFIRMED_METADATA_ONLY
44b6_d29c9ab2,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,492813035,21,15698,,,HOST_CONFIRMED_METADATA_ONLY
44b6_d2f34f90,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,500553470,21,9284,,,HOST_CONFIRMED_METADATA_ONLY
44b6_d5e7d891,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,545535218,21,12933,,,HOST_CONFIRMED_METADATA_ONLY
44b6_d754aa59,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,370169771,21,7793,,,HOST_CONFIRMED_METADATA_ONLY
44b6_d78e09d9,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,441825506,21,10633,,,HOST_CONFIRMED_METADATA_ONLY
44b6_db3c847b,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,446681470,21,8592,,,HOST_CONFIRMED_METADATA_ONLY
44b6_ddf577ad,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,519255171,21,11474,,,HOST_CONFIRMED_METADATA_ONLY
44b6_deabac95,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,390421570,21,8262,,,HOST_CONFIRMED_METADATA_ONLY
44b6_e28840c6,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,542007583,21,9338,,,HOST_CONFIRMED_METADATA_ONLY
44b6_e29f0176,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,372784970,21,7641,,,HOST_CONFIRMED_METADATA_ONLY
44b6_e31261b4,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,529394335,21,8160,,,HOST_CONFIRMED_METADATA_ONLY
44b6_e35b117d,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,539783775,21,9382,,,HOST_CONFIRMED_METADATA_ONLY
44b6_e57ff5c6,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,488046940,21,8901,,,HOST_CONFIRMED_METADATA_ONLY
44b6_eb2880fc,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,488171713,21,10204,,,HOST_CONFIRMED_METADATA_ONLY
44b6_f28707c6,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,463528105,21,7791,,,HOST_CONFIRMED_METADATA_ONLY
6bba_05b6850b,6bba,6bba,true,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,361668669,21,12964,,,HOST_CONFIRMED_METADATA_ONLY
6bba_05db0fb1,6bba,6bba,true,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,540242928,21,15343,,,HOST_CONFIRMED_METADATA_ONLY
6bba_062c8d37,6bba,6bba,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,341782153,21,13521,,,HOST_CONFIRMED_METADATA_ONLY
6bba_07477033,6bba,6bba,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,325484898,21,11425,,,HOST_CONFIRMED_METADATA_ONLY
6bba_07e24132,6bba,6bba,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,465682930,21,9919,,,HOST_CONFIRMED_METADATA_ONLY
6bba_085bf656,6bba,6bba,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,380726889,21,15244,,,HOST_CONFIRMED_METADATA_ONLY
6bba_09961292,6bba,6bba,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,400084214,21,19957,,,HOST_CONFIRMED_METADATA_ONLY
6bba_0c7fa718,6bba,6bba,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,371438547,21,12016,,,HOST_CONFIRMED_METADATA_ONLY
6bba_0e7c0d07,6bba,6bba,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,432565534,21,8711,,,HOST_CONFIRMED_METADATA_ONLY
6bba_12665c0e,6bba,6bba,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,358137475,21,14705,,,HOST_CONFIRMED_METADATA_ONLY
6bba_13f19531,6bba,6bba,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,356511511,21,12431,,,HOST_CONFIRMED_METADATA_ONLY
6bba_15403b9a,6bba,6bba,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,334482003,21,12493,,,HOST_CONFIRMED_METADATA_ONLY
6bba_1d0d8384,6bba,6bba,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,420082204,21,17452,,,HOST_CONFIRMED_METADATA_ONLY
6bba_1ebfb80d,6bba,6bba,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,391736321,21,12226,,,HOST_CONFIRMED_METADATA_ONLY
6bba_1f58c2f6,6bba,6bba,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,457984180,21,9516,,,HOST_CONFIRMED_METADATA_ONLY
6bba_207c6aaf,6bba,6bba,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,392166029,21,10662,,,HOST_CONFIRMED_METADATA_ONLY
6bba_20852818,6bba,6bba,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,378925732,21,13737,,,HOST_CONFIRMED_METADATA_ONLY
6bba_2312ac41,6bba,6bba,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,389511583,21,14975,,,HOST_CONFIRMED_METADATA_ONLY
6bba_23af9eeb,6bba,6bba,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,350812322,21,10698,,,HOST_CONFIRMED_METADATA_ONLY
6bba_2540cd90,6bba,6bba,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,326798894,21,10739,,,HOST_CONFIRMED_METADATA_ONLY
6bba_2646afc7,6bba,6bba,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,353490088,21,12208,,,HOST_CONFIRMED_METADATA_ONLY
6bba_268e1230,6bba,6bba,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,339424647,21,11672,,,HOST_CONFIRMED_METADATA_ONLY
6bba_2819ca14,6bba,6bba,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,329223531,21,14219,,,HOST_CONFIRMED_METADATA_ONLY
6bba_283bf9f1,6bba,6bba,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,425991994,21,16629,,,HOST_CONFIRMED_METADATA_ONLY
6bba_312f0dc3,6bba,6bba,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,370352855,21,10809,,,HOST_CONFIRMED_METADATA_ONLY
6bba_32db13fc,6bba,6bba,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,477612258,21,13137,,,HOST_CONFIRMED_METADATA_ONLY
6bba_337b1b3a,6bba,6bba,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,459625871,21,15601,,,HOST_CONFIRMED_METADATA_ONLY
6bba_372c8cb8,6bba,6bba,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,365395302,21,14216,,,HOST_CONFIRMED_METADATA_ONLY
6bba_3a1849c2,6bba,6bba,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,361186029,21,14907,,,HOST_CONFIRMED_METADATA_ONLY
6bba_3abfe10a,6bba,6bba,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,539403678,21,13841,,,HOST_CONFIRMED_METADATA_ONLY
6bba_3c5691b6,6bba,6bba,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,364822686,21,12311,,,HOST_CONFIRMED_METADATA_ONLY
6bba_3db54e20,6bba,6bba,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,443248483,21,10857,,,HOST_CONFIRMED_METADATA_ONLY
6bba_3fda6b25,6bba,6bba,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,378285046,21,15396,,,HOST_CONFIRMED_METADATA_ONLY
6bba_43fea39d,6bba,6bba,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,317108747,21,13709,,,HOST_CONFIRMED_METADATA_ONLY
6bba_474be664,6bba,6bba,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,536288900,21,9345,,,HOST_CONFIRMED_METADATA_ONLY
6bba_48816121,6bba,6bba,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,429597138,21,13618,,,HOST_CONFIRMED_METADATA_ONLY
6bba_4aa14c89,6bba,6bba,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,375599449,21,12125,,,HOST_CONFIRMED_METADATA_ONLY
6bba_4f99ce20,6bba,6bba,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,347270978,21,14388,,,HOST_CONFIRMED_METADATA_ONLY
6bba_4ffd3da3,6bba,6bba,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,386003937,21,12246,,,HOST_CONFIRMED_METADATA_ONLY
6bba_55b7eebe,6bba,6bba,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,386832188,21,11870,,,HOST_CONFIRMED_METADATA_ONLY
6bba_55c70843,6bba,6bba,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,492410828,21,10611,,,HOST_CONFIRMED_METADATA_ONLY
6bba_57b7cc1e,6bba,6bba,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,551751513,21,18027,,,HOST_CONFIRMED_METADATA_ONLY
6bba_5a4d9360,6bba,6bba,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,333698472,21,12510,,,HOST_CONFIRMED_METADATA_ONLY
6bba_5b28472a,6bba,6bba,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,361337573,21,12132,,,HOST_CONFIRMED_METADATA_ONLY
6bba_5c039895,6bba,6bba,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,381776867,21,15323,,,HOST_CONFIRMED_METADATA_ONLY
6bba_5c824876,6bba,6bba,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,442682577,21,15179,,,HOST_CONFIRMED_METADATA_ONLY
6bba_5dfe9ad1,6bba,6bba,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,451477177,21,17370,,,HOST_CONFIRMED_METADATA_ONLY
6bba_5f89039d,6bba,6bba,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,349630666,21,13272,,,HOST_CONFIRMED_METADATA_ONLY
6bba_61dd1e0d,6bba,6bba,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,411186738,21,11034,,,HOST_CONFIRMED_METADATA_ONLY
6bba_61ecbe65,6bba,6bba,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,333237600,21,11677,,,HOST_CONFIRMED_METADATA_ONLY
